date,mean_rsv_global
2018-01-01,24.036606950472496
2018-02-01,21.982788045288046
2018-03-01,24.522872431801
2018-04-01,22.27165126261308
2018-05-01,24.72850857514723
2018-06-01,23.38680598502027
2018-07-01,21.116697362705768
2018-08-01,22.09902878012122
2018-09-01,23.3834612632932
2018-10-01,25.264418547392605
2018-11-01,27.76398386319833
2018-12-01,24.092758026997156
2019-01-01,25.514753368324797
2019-02-01,30.76423080887367
2019-03-01,30.3387900812499
2019-04-01,26.986589128404987
2019-05-01,27.338085063085064
2019-06-01,28.28084508084508
2019-07-01,26.46980759669836
2019-08-01,21.8608090322376
2019-09-01,25.498514203661266
2019-10-01,26.197082722431258
2019-11-01,28.364612002701147
2019-12-01,22.520662670662677
2020-01-01,27.554119012558907
2020-02-01,25.66870218003758
2020-03-01,22.596655577875893
2020-04-01,23.0447478266669
2020-05-01,21.968437522639206
2020-06-01,26.07469999818518
2020-07-01,24.277904706019427
2020-08-01,21.093458805433595
2020-09-01,25.59280196149944
2020-10-01,23.498835291692433
2020-11-01,24.349380500610238
2020-12-01,21.67866789295361
2021-01-01,22.47661807941311
2021-02-01,26.85108009944966
2021-03-01,22.277467262706573
2021-04-01,23.070904511934838
2021-05-01,24.87503065142817
2021-06-01,26.421582992171228
2021-07-01,23.482392226509877
2021-08-01,23.84312292127418
2021-09-01,23.839373720502696
2021-10-01,26.49192443167599
2021-11-01,25.53290149004435
2021-12-01,24.60442329105555
2022-01-01,28.968832332264014
2022-02-01,28.31076576369756
2022-03-01,26.035603908973474
2022-04-01,27.605845581597464
2022-05-01,31.189431356066457
2022-06-01,28.546157406241438
2022-07-01,26.438171424273914
2022-08-01,25.69250480943027
2022-09-01,24.127735517030366
2022-10-01,28.04491407488301
2022-11-01,29.594160026768723
2022-12-01,25.507788820403
2023-01-01,28.808903513096062
2023-02-01,29.905730553090798
2023-03-01,29.544888728438234
2023-04-01,27.387304462847936
2023-05-01,29.720216782783126
2023-06-01,30.545129597225873
2023-07-01,26.90377279116775
2023-08-01,27.95363528810734
2023-09-01,28.687290342135974
2023-10-01,29.844780322502764
2023-11-01,28.504262294086917
2023-12-01,28.94419577009548
2024-01-01,29.745250397040678
2024-02-01,33.51604744031432
2024-03-01,30.089872058432054
2024-04-01,34.632329373396956
2024-05-01,32.707388703580264
2024-06-01,32.934166637669556
2024-07-01,33.701988331564515
2024-08-01,28.785562995172054
2024-09-01,31.621328747227732
2024-10-01,36.620639318529335
2024-11-01,32.97340775711158
2024-12-01,31.163289905334118
2025-01-01,33.19434873168888
2025-02-01,34.69369146209208
2025-03-01,33.784947850230864
2025-04-01,36.01050372718257
2025-05-01,33.58867202868943
2025-06-01,36.42190622254103
2025-07-01,33.90310148213875
2025-08-01,31.541525885716606
2025-09-01,33.04903915081116
2025-10-01,36.65216816195077
2025-11-01,50.59351690124771
2025-12-01,48.8114871892404
